CarModel,ImgUrl,MPG,UserEco
 2016 Buick Encore,http://www.fueleconomy.gov/feg/photos/2016_Buick_Encore.jpg,30,NA
 2017 Buick Encore,http://www.fueleconomy.gov/feg/photos/2016_Buick_Encore.jpg,30,NA
 2013 Buick LaCrosse eAssist,http://www.fueleconomy.gov/feg/photos/2013_Buick_LaCrosse_eAssist.jpg,29,30.6
 2013 Buick Regal eAssist,http://www.fueleconomy.gov/feg/photos/2012_Buick_Regal_eAssist.jpg,29,NA
 2016 Buick Encore AWD,http://www.fueleconomy.gov/feg/photos/2016_Buick_Encore.jpg,28,NA
 2017 Buick Encore AWD,http://www.fueleconomy.gov/feg/photos/2016_Buick_Encore.jpg,28,NA
 2013 Buick Encore,http://www.fueleconomy.gov/feg/photos/2013_Buick_Encore.jpg,28,28.6
 2014 Buick Encore,http://www.fueleconomy.gov/feg/photos/2014_Buick_Encore.jpg,28,24.3
 2015 Buick Encore,http://www.fueleconomy.gov/feg/photos/2015_Buick_Encore.jpg,28,27.4
 2016 Buick Encore,http://www.fueleconomy.gov/feg/photos/2016_Buick_Encore.jpg,28,NA
 2017 Buick Encore,http://www.fueleconomy.gov/feg/photos/2016_Buick_Encore.jpg,28,NA
 2012 Buick LaCrosse eAssist,http://www.fueleconomy.gov/feg/photos/2012_Buick_LaCrosse_eAssist.jpg,28,28.0
 2012 Buick Regal eAssist,http://www.fueleconomy.gov/feg/photos/2012_Buick_Regal_eAssist.jpg,28,20.0
 2014 Buick LaCrosse eAssist,http://www.fueleconomy.gov/feg/photos/2013_Buick_LaCrosse_eAssist.jpg,28,29.2
 2014 Buick Regal eAssist,http://www.fueleconomy.gov/feg/photos/2012_Buick_Regal_eAssist.jpg,28,29.9
 2015 Buick LaCrosse eAssist,http://www.fueleconomy.gov/feg/photos/2013_Buick_LaCrosse_eAssist.jpg,28,NA
 2015 Buick Regal eAssist,http://www.fueleconomy.gov/feg/photos/2012_Buick_Regal_eAssist.jpg,28,NA
 2016 Buick LaCrosse eAssist,http://www.fueleconomy.gov/feg/photos/2016_Buick_LaCrosse.jpg,28,NA
 2016 Buick Regal eAssist,http://www.fueleconomy.gov/feg/photos/2016_Buick_Regal.jpg,28,NA
 2017 Buick Encore AWD,http://www.fueleconomy.gov/feg/photos/2016_Buick_Encore.jpg,27,NA
 2015 Buick Encore AWD,http://www.fueleconomy.gov/feg/photos/2015_Buick_Encore.jpg,26,NA
 2016 Buick Encore AWD,http://www.fueleconomy.gov/feg/photos/2016_Buick_Encore.jpg,26,NA
 2013 Buick Encore AWD,http://www.fueleconomy.gov/feg/photos/2013_Buick_Encore.jpg,25,33.7
 2014 Buick Encore AWD,http://www.fueleconomy.gov/feg/photos/2014_Buick_Encore.jpg,25,28.2
 2017 Buick Envision FWD,http://www.fueleconomy.gov/feg/photos/2016_Buick_Envision.jpg,25,NA
 2015 Buick Verano,http://www.fueleconomy.gov/feg/photos/2014_Buick_Verano.jpg,25,32.8
 2017 Buick LaCrosse,http://www.fueleconomy.gov/feg/photos/2016_Buick_LaCrosse.jpg,25,NA
 2012 Buick Verano,http://www.fueleconomy.gov/feg/photos/2012_Buick_Verano.jpg,24,25.1
